Abridged File Name,Recommendation,Title,Description,Date,Source of date,Box: Folder,Notes,
photos_0001,OK for collection,"Group tour photo with banner in English and Chinese reading Welcome to Grand Palace, Bangkok",,01-16-2000,Verso,Digital only,,
photos_0002,OK for collection,Group [including Paul and Nancy Fong?] at a meal,,01-13-2000,Verso,Digital only,,
photos_0003,OK for collection,Group [including Paul Fong?] at a meal,,01-17-2000,Verso,Digital only,,
photos_0004,OK for collection,"Group photo in Upper Cheung Sha Beach, Hong Kong",,01-18-2000,Verso,Digital only,,
photos_0005,OK for collection,Group photo  in front of the Merlion statue in Singapore,,01-11-2000,Verso,Digital only,,
photos_0006,Good for digital collection,Portrait of a young man [unidentified A],,,,Digital only,"A stray verso(?) appears at this point, causing the ""verso"" to become the recto",John will remove and rename
photos_0007,OK for collection,Portrait of man [unidentified B],,,,1:15,,
photos_0008,Good for digital collection,Portrait of man [unidentified B],,,,1:15,Best copy,
photos_0009,OK for collection,Portrait of man [unidentified B],,,,1:15,,
photos_0010,OK for collection,Portrait of man [unidentified B],,,,1:15,,
photos_0011,OK for collection,Portrait of man [unidentified B],,,,1:15,,
photos_0012,OK for collection,Portrait of man [unidentified B],,,,1:15,,
photos_0013,Good for digital collection,Photo of a woman in front of a vehicle [unidentified C],,,,1:15,,
photos_0014,OK for collection,Portrait of a boy [unidentified D],,,,Digital only,,
photos_0015,Good for digital collection,Portrait of a boy [unidentified D],,,,Digital only,"Best copy (may be unidentified A, but younger)",
photos_0016,OK for collection,Portrait of a boy [unidentified D],,,,Digital only,,
photos_0017,Good for digital collection,"Portrait of a couple, including [unidentified A.1]",,,,Digital only,,
photos_0018,Good for digital collection,Portrait of boy [unidentified D.1],,,,Digital only,Appears to be unidentified A as a boy,
photos_0019,Good for digital collection,Portrait of a young man [unidentified A.1],,,,Digital only,,
photos_0020,Good for digital collection,Dog next to a pumpkin patch,,10-1966,Verso,Digital only,,
photos_0021,Good for digital collection,John Fong posing with pumpkin harvest,,10-1966,Verso,Digital only,,
photos_0022,Good for digital collection,"John Fong behind the counter in the Chicago Cafe, decorated for Christmas",,[1960s],,Digital only,,
photos_0023,Good for digital collection,Group having a meal in the Chicago Cafe,,01-1965,Verso,Digital only,Likely Christmas dinner; includes Harry Young?,
photos_0024,Good for digital collection,John Fong in the Chicago Cafe kitchen,,[1960s],,1:17,,
photos_0025,Good for digital collection,Parade on Main Street as viewed from the Chicago Cafe,,,,Digital only,Parade,
photos_0026,Good for digital collection,Portrait of Harry Young[?] and brother[?] in the Chicago Cafe,,01-1965,Verso,Digital only,,
photos_0027,Good for digital collection,John Fong (sitting) poses with man in the Chicago Cafe,,01-1965,Verso,Digital only,,
photos_0028,Good for digital collection,John Fong posing with a boy and a girl in the Chicago Cafe,,[1960s],,Digital only,,
photos_0029,Good for digital collection,John Fong with Christmas tree and cards in the Chicago Cafe,,[1960s],,Digital only,,
photos_0030,Good for digital collection,John Fong (standing) poses with man in the Chicago Cafe,,01-1965,Verso,Digital only,,
photos_0031,Good for digital collection,Children on an antique fire truck in a parade on Main Street,,,,1:17,Parade,
photos_0032,Good for digital collection,Two boys with bicycles on the sidewalk outside of the Chicago Cafe during parade,,,,1:17,Parade,
photos_0033,Good for digital collection,Man on horseback during parade on Main Street,,,,1:17,Parade,
photos_0034,Good for digital collection,John Fong holding a large white pumpkin,,10-1966,Verso,Digital only,,
photos_0035,Good for digital collection,John Fong holding a white pumpkin with a dog nearby,,10-1966,Verso,Digital only,,
photos_0036,Good for digital collection,John Fong posing with pumpkins in the trunk of a car,,10-1966,Verso,Digital only,,
photos_0037,Good for digital collection,Woman and a small child on horseback,,,,1:17,Women on horseback series,
photos_0038,Good for digital collection,Woman posing with a Christmas tree in the Chicago Cafe,,[1960s],,1:17,Waitress?,
photos_0039,Good for digital collection,Two women with two small girls on horseback,,,,1:17,Women on horseback series,
photos_0040,Good for digital collection,Two women in a booth in the Chicago Cafe,,[1960s],,1:17,Waitress?,
photos_0041,Good for digital collection,Two women with two small girls posing on horseback,,,,1:17,Women on horseback series,
photos_0042,Good for digital collection,Two women with two small girls riding horses,,,,1:17,Women on horseback series,
photos_0043,Good for digital collection,"Photo of the 2900 block of Huntington Drive in San Marino, CA, 1980s",,,,1:19,Add to grouped_018,"John Moved to Grouped 018, numbering will skip 43. "
photos_0044,Good for digital collection,Woman and a small child on horseback in front of a garage,,,,1:17,Women on horseback series,
photos_0045,Good for digital collection,Two women with two small girls on horseback with two small dogs nearby,,,,1:17,Women on horseback series,
photos_0046,Good for digital collection,Seven children of various ages posing,"Verso stamp ties this photograph to Foto Murillo in Mexicali, Baja California, Mexico, which was started by Jose Fong and continued by his son Roberto Fong.",08-16-1955,Verso,1:17,Foto Murillo,
photos_0047,Good for digital collection,Miss Chinatown contestants in lineup,"The Miss Chinatown pageant was held by the Chinese American Citizens Alliance (CACA) as a part of their Independence Day picnic celebrations at the Old Hearst Ranch (Hacienda del Pozo de Verona) in Pleasanton, California. Handwritten on verso: ""Waiting for the judge [to] announce the winner"".",07-04-1949,Research,1:17,,
photos_0048,Good for digital collection,Fanny Don crowned Miss Chinatown,"The Miss Chinatown pageant was held by the Chinese American Citizens Alliance (CACA) as a part of their Independence Day picnic celebrations at the Old Hearst Ranch (Hacienda del Pozo de Verona) in Pleasanton, California. Handwritten on verso: ""First place winner Miss Chinatown"".",07-04-1949,Research,1:17,,
photos_0049,Good for digital collection,Miss Chinatown contestants walk poolside at Old Hearst Ranch,"The Miss Chinatown pageant was held by the Chinese American Citizens Alliance (CACA) as a part of their Independence Day picnic celebrations at the Old Hearst Ranch (Hacienda del Pozo de Verona) in Pleasanton, California. Handwritten on verso: ""Walk around the pool during the contest"".",07-04-1949,Research,1:17,,
photos_0050,Good for digital collection,Two unidentified young people,,[1950s],,1:17,Friends,
photos_0051,Good for digital collection,Unidentified Miss Chinatown poses with flowers. ,,[early 1950s],,1:17,,
photos_0052,Good for digital collection,Unidentified man posing outdoors,,,,1:17,,
photos_0053,Good for digital collection,Keepsake photo to John Fong from Robin Johnson,,[1950s],,1:17,Friends,
photos_0054,Good for digital collection,Unidentified young woman,,[1950s],,1:17,Friends,
photos_0055,Good for digital collection,Keepsake photo to John Fong from Rosie Rios and Margie Sandoval,,[1950s],,1:17,Friends,
photos_0056,Good for digital collection,"Portrait of Margaret, a waitress at the Chicago Cafe","Handwritten on verso: ""September 1965; To John, my fat little boss at the Chicago Cafe in Woodland; Always, Margaret"".",09-1965,Verso,1:17,,
photos_0057,Good for digital collection,Keepsake photo to John Fong from Christina Savala,"Handwritten on verso: ""Christina Savala, Yolo Cal, 1958"". ",1958,Verso,1:17,Friends,
photos_0058,Good for digital collection,Keepsake photo to John Fong from Mary [?],"Handwritten on verso: ""To Johnny, Mary [unclear], '58"".",1958,Verso,1:17,Friends,
photos_0059,Good for digital collection,Keepsake photo to John Fong from Glenna Dickie,"Handwritten on verso: ""To a real nice guy and a good looking one, Glenna Dickie"". ",[1950s],,1:17,Friends,
photos_0060,Good for digital collection,"Letter addressed to Ben from Mexicali, Mexico ","Correspondence to ""Ben"" from ""Quincia""(?) regarding passport and travel to Hong Kong. The letter was sent from Mexicali, Baja California, Mexico.",12-31-1962,Item,1:17,Not a photo,
photos_0061,Good for digital collection,Unidentified man fishing at Lake Berryessa,,07-1958,Verso,1:17,,
photos_0062,Good for digital collection,Unidentified man with fishing pole at Lake Berryessa,,07-1958,Verso,1:17,,
photos_0063,OK for collection,John Fong poses with a young woman behind the counter of the Chicago Cafe,,[1950s-1960s],,1:17,Better version below,
photos_0064,Good for digital collection,"The counter at the Chicago Cafe, empty",,05- 1961,Recto,1:17,,
photos_0065,OK for collection,A woman hands a beer to another woman from behind the cooler at the Chicago Cafe (copy),,05- 1961,Recto,1:17,,
photos_0066,OK for collection,A woman hands a beer to another woman from behind the cooler at the Chicago Cafe (copy),,05- 1961,Recto,1:17,,
photos_0067,Good for digital collection,A woman hands a beer to another woman from behind the cooler at the Chicago Cafe,,05- 1961,Recto,1:17,best version; possibly Harry Young's wife,
photos_0068,Good for digital collection,A woman in the kitchen of the Chicago Cafe,,05- 1961,Recto,Digital only,possibly Harry Young's wife,
photos_0069,Good for digital collection,A family poses on the lawn in a residential area,Chinese writing on verso.,[1950-1960s],,Digital only,,
photos_0070,Good for digital collection,John Fong behind the counter of the Chicago Cafe,,03-1958,Recto,Digital only,,
photos_0071,Good for digital collection,Group photo outdoors with urban mountain backdrop,Photo postcard.,[1950s-1960s],,Digital only,,
photos_0072,Good for digital collection,Photographer Jose Fong with two children and a baby,"A man, likely Jose Fong, holds a baby and sits with two young children, who show off gifts of candy. José Fong Chee Wi San opened a photo studio in Mexicali, Baja California, Mexico named Foto Murillo. ",08-1958,Verso,1:17,Foto Murillo,
photos_0073,OK for collection,Photographer Jose Fong with two children and a baby (copy),,,,1:17,Foto Murillo,
photos_0074,Good for digital collection,Woman posing next to booths in the Chicago Cafe at Christmas time,,[1960s],,1:17,Same woman as 0038 and 0040,
photos_0075,Good for digital collection,John Fong and an unidentified man holding a large fish in the Chicago Cafe,,[1950s-1960s],,Digital only,,
photos_0076,Good for digital collection,Woman holding a catfish by the tail in the Chicago Cafe,,[1950s-1960s],,1:17,Goes with 0075,
photos_0077,Good for digital collection,John Fong holding jacket in a residential neighborhood,,12-1958,Recto,Digital only,,
photos_0078,Good for digital collection,John Fong in a residential neighborhood,,12-1958,Recto,Digital only,Goes with 0077,
photos_0079,Good for digital collection,Portrait of an unidentified man,"Stamp on verso: Foto Murillo, Mexicali, Baja California, Mexico",02-21-1959,Verso,Digital only,Foto Murillo,
photos_0080,Good for digital collection,Portrait of an unidentified man standing,"Stamp on verso: Foto Murillo, Mexicali, Baja California, Mexico",02-21-1959,Verso,Digital only,Foto Murillo,
photos_0081,Good for digital collection,"John Fong holding passport and travel documents, close-up",Handwritten note on verso,,,Digital only,Passport,
photos_0082,Good for digital collection,Passport and travel documents,,,,Digital only,Passport,
photos_0083,Good for digital collection,John Fong holding passport and travel documents,,,,Digital only,Passport,
photos_0084,Good for digital collection,Bridge with lights across a bay,,07-1958,Verso,1:17,,
photos_0085,Good for digital collection,Five people standing together outside near a house,,[1950s-1960s],,1:17,,
photos_0086,Good for digital collection,Two young women posing in sunglasses,,[1950s],,1:17,Friends,
photos_0087,Good for digital collection,Portrait of three women and two young boys,Chinese writing on verso,,,Digital only,,
photos_0088,Good for digital collection,John Fong at the Chicago Cafe counter with two young people,,[1950s-1960s],,Digital only,,
photos_0089,Good for digital collection,John Fong moving a canister with a dolly,,[1950s-1960s],,Digital only,,
photos_0090,Good for digital collection,Two young boys sitting on a rock outdoors,,,,Digital only,,
photos_0091,Good for digital collection,A man with two young boys outdoors with a city and mountain backdrop,,,,Digital only,Goes with 0090,
photos_0092,Good for digital collection,A family poses on the steps of a building,,,,Digital only,Goes with 0090,
photos_0093,Good for digital collection,John Fong holds a large striped bass in front of a parked car,,[early 1960s],make of car,Digital only,,
photos_0094,OK for collection,John Fong holds a large striped bass in front of a parked car (2),,[early 1960s],,Digital only,Slightly blurry compared to 0093,
photos_0095,Good for digital collection,Portrait of an unidentified man standing,"Stamp on verso: Foto Murillo, Mexicali, Baja California, Mexico",02-21-1959,verso,Digital only,Goes with 0080,
photos_0096,OK for collection,Portrait of an unidentified man,"Stamp on verso: Foto Murillo, Mexicali, Baja California, Mexico",02-21-1959,verso,Digital only,copy of 0079,
photos_0097,OK for collection,Portrait of an unidentified man standing,"Stamp on verso: Foto Murillo, Mexicali, Baja California, Mexico",02-21-1959,verso,Digital only,copy of 0080,
